entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
BTCTurk,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,67182907.09,2010.1606984,156416,67182907.09,2010.1606984,156416
BTCTurk,UNKNOWN,,7123078316.72,196630.78729776,420784,7123078316.72,196630.78729776,420784
BTSE,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,2813948784.32,76355.31899212,4522
BTSE,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,3676.47,0.1129058,84,3676.47,0.1129058,84
BTSE,UNKNOWN,,11982542301.94,308293.77730312,6174,11982542301.94,308293.77730312,6174
BTX,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,430.15,0.00887718,6,430.15,0.00887718,6
BTX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,52140355.13,1233.64855122,2535,198166475.41,4427.00398212,15834
BTX,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,30643.48,0.70206156,57,30643.48,0.70206156,57
BTX,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,37.43,0.00061263,3,37.43,0.00061263,3
BTX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,62056.58,1.60782627,21,62056.58,1.60782627,21
BTX,pool,f88c491b-a9b6-11ea-b6eb-0adaa880d7fe,15216696.07,368.25954291,8952,15216696.07,368.25954291,8952
BTX,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,32069.97,0.70225584,330,32069.97,0.70225584,330
BTX,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,7367.26,0.18191787,45,7367.26,0.18191787,45
BTX,UNKNOWN,,4212573.22,106.40684742,1467,4212573.22,106.40684742,1467
Buda,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,68131.25,1.48575776,576,68131.25,1.48575776,576
Buda,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,1718.88,0.03985824,64,1718.88,0.03985824,64
Buda,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,37169666.51,1006.9245376,45824,271349852.87,7594.70422704,203632
Buda,faucet,f88c4c8e-a9b6-11ea-b6eb-0adaa880d7fe,1596.08,0.0304,32,1596.08,0.0304,32
Buda,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,194186.28,4.59965264,1024,194186.28,4.59965264,1024
Buda,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,3321139.33,92.77653968,3328,3321139.33,92.77653968,3328
Buda,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,36638.97,0.86679376,288,36638.97,0.86679376,288
Buda,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,5441.43,0.0944,16,5441.43,0.0944,16
Buda,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,21944978.57,535.6368192,10880,21944978.57,535.6368192,10880
Buda,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,40082.09,1.03597568,336,40082.09,1.03597568,336
Buda,UNKNOWN,,3896952057.83,109069.72098064,186224,3896952057.83,109069.72098064,186224
BuenBit,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,23100.38,0.5468928,32,23100.38,0.5468928,32
BuenBit,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,29134436.99,826.59424064,44896,66901272.61,1905.21042848,134976
BuenBit,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,170295.47,5.89293984,2288,170295.47,5.89293984,2288
BuenBit,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,73555.85,1.7666944,448,73555.85,1.7666944,448
BuenBit,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,60631.01,1.4865632,128,60631.01,1.4865632,128
BuenBit,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,4268296.86,116.7186784,8912,4268296.86,116.7186784,8912
BuenBit,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,163008.55,5.405276,1072,163008.55,5.405276,1072
