entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
VccExchange,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,2212.72,0.03417,17,2212.72,0.03417,17
Veetcoin,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1478.93,0.07612216,2,1478.93,0.07612216,2
Veetcoin,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,80.21,0.00216664,2
Velic,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,473764.97,23.4,18,64738897.22,1241.9213373,720
Velic,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,8392.04,0.189,72,8392.04,0.189,72
Velic,UNKNOWN,,263413013.78,5907.9343806,774,263413013.78,5907.9343806,774
VeniceSwap,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,201.93,0.01,5,201.93,0.01,5
VeraCrypt,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1100.47,0.036,6,1100.47,0.036,6
VeraCrypt,UNKNOWN,,1316.27,0.03949785,84,1316.27,0.03949785,84
VideForex,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,13314.86,0.2748444,48,13314.86,0.2748444,48
VideForex,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,70307.43,1.804464,1304,777064.83,20.05269152,2784
VideForex,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,29678125.86,767.74708528,98296,29678125.86,767.74708528,98296
VideForex,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,1339.9,0.03636552,32,1339.9,0.03636552,32
VideForex,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,2461.55,0.05741584,88,2461.55,0.05741584,88
VideForex,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,303871.06,8.24937168,1456,303871.06,8.24937168,1456
VideForex,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,4710.81,0.20792,16,4710.81,0.20792,16
VideForex,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,3181751.84,79.46803112,13624,3181751.84,79.46803112,13624
VideForex,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,126692.02,2.8981596,1272,126692.02,2.8981596,1272
VideForex,UNKNOWN,,106827621.77,2786.04973152,418960,106827621.77,2786.04973152,418960
Vilcov,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,4169981.56,93.2766873,485,218973182.03,6272.60748575,8115
Vilcov,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,57320.98,1.55609815,230,57320.98,1.55609815,230
Vilcov,UNKNOWN,,23927734.64,693.7865988,2965,23927734.64,693.7865988,2965
VinDAX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,4867328.85,144.14710329,3400,4901932.2,144.88174316,3417
VinDAX,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,24857.98,0.41366015,34,24857.98,0.41366015,34
VinDAX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,4156.42,0.09209597,34,4156.42,0.09209597,34
VinDAX,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,5467.6,0.11527003,34,5467.6,0.11527003,34
VinDAX,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,7338.67,0.21454,119,7338.67,0.21454,119
VinDAX,UNKNOWN,,4111826.1,104.16409405,4896,4111826.1,104.16409405,4896
Virrex,UNKNOWN,,13.51,0.0006764,2,13.51,0.0006764,2
VirtualSim,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,93.33,0.002,2,93.33,0.002,2
VirtualSim,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,214.35,0.00894392,16,214.35,0.00894392,16
