entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
BitMyMoney,hyip,28,134632.59,0.0,0.0,0.0,
BitPadre,gambling,6,128.16,0.0,0.0,0.05,
BitPadre,hyip,12,28149.61,0.0,0.0,0.0,
BitPay.com,criminal,138,25780.34,1536.0,555774.84,0.01,0.0
BitPay.com,dark market,23,1353.38,144.0,13191.46,0.02,0.01
BitPay.com,gambling,115,5713.14,1200.0,605689.74,0.02,0.0
BitPay.com,high risk exchange,2300,148332.47,5832.0,641628.14,0.02,0.01
BitPay.com,hyip,276,57533.12,1296.0,63563.18,0.0,0.02
BitPay.com,mixer,23,66.36,408.0,183447.85,0.35,0.0
BitPreco,criminal,120,69886.1,13.0,2266.97,0.0,0.01
BitPreco,dark market,36,6377.34,0.0,0.0,0.01,
BitPreco,gambling,324,26621.62,221.0,39201.04,0.01,0.01
BitPreco,high risk exchange,4932,17172264.8,0.0,0.0,0.0,
BitPreco,hyip,180,67084.27,247.0,98209.22,0.0,0.0
BitPreco,mixer,24,160282.3,0.0,0.0,0.0,
BitShares,high risk exchange,224,138083.17,17.0,9955.71,0.0,0.0
BitShares,mixer,32,62087.77,0.0,0.0,0.0,
BitSler,criminal,3,115.43,0.0,0.0,0.03,
BitSler,dark market,1,40.47,0.0,0.0,0.02,
BitSler,gambling,316,181545.01,686.0,415098.77,0.0,0.0
BitSler,high risk exchange,175,40299.03,6.0,1052.24,0.0,0.01
BitSler,hyip,11,2467.05,410.0,28782.98,0.0,0.01
BitSler,malware,4,2449.25,0.0,0.0,0.0,
BitSler,ransomware,1,45.64,0.0,0.0,0.02,
Bitazza,dark market,7,588.54,0.0,0.0,0.01,
Bitazza,gambling,658,400948.68,256.0,194437.09,0.0,0.0
Bitazza,high risk exchange,63,25257.9,88.0,26598.11,0.0,0.0
Bitazza,hyip,14,4040.68,56.0,13017.63,0.0,0.0
Bitazza,mixer,7,9960.67,0.0,0.0,0.0,
Bitbank.cc,criminal,817,1406019.79,60.0,79484.57,0.0,0.0
Bitbank.cc,dark market,342,59521.21,0.0,0.0,0.01,
Bitbank.cc,gambling,8759,15931612.95,400.0,2324706.75,0.0,0.0
Bitbank.cc,high risk exchange,95,30111.65,20.0,16430.06,0.0,0.0
Bitbank.cc,hyip,627,928478.05,0.0,0.0,0.0,
Bitbns,criminal,54,65346.81,57.0,4877.56,0.0,0.01
Bitbns,gambling,162,129873.75,133.0,113631.25,0.0,0.0
Bitbns,high risk exchange,414,2374751.06,0.0,0.0,0.0,
Bitbns,hyip,54,1855.81,57.0,9081.21,0.03,0.01
Bitcasino.io,gambling,0,0.0,52.0,18512.95,,0.0
Bitcoin.de,criminal,320,2180127.06,238.0,1108436.21,0.0,0.0
Bitcoin.de,dark market,17872,4777660.21,918.0,766269.95,0.0,0.0
Bitcoin.de,gambling,10208,6847797.5,6018.0,12397318.62,0.0,0.0
Bitcoin.de,high risk exchange,1872,958599.22,578.0,521169.4,0.0,0.0
Bitcoin.de,hyip,624,514020.23,493.0,688155.34,0.0,0.0
Bitcoin.de,mixer,624,5606014.63,0.0,0.0,0.0,
Bitcoin4U,criminal,2,847.15,0.0,0.0,0.0,
Bitcoin4U,dark market,8,328.77,0.0,0.0,0.02,
Bitcoin4U,gambling,1646,137959.12,12.0,2790.9,0.01,0.0
Bitcoin4U,high risk exchange,292,1085626.35,0.0,0.0,0.0,
Bitcoin4U,hyip,194,46287.73,0.0,0.0,0.0,
BitcoinAustralia,criminal,12,27285.07,0.0,0.0,0.0,
BitcoinAustralia,dark market,18,2566.53,0.0,0.0,0.01,
BitcoinAustralia,gambling,16,1204.15,0.0,0.0,0.01,
BitcoinAustralia,high risk exchange,10,4134.46,0.0,0.0,0.0,
BitcoinDepot,criminal,7236,1422216.11,0.0,0.0,0.01,
BitcoinDepot,dark market,4992,447541.22,0.0,0.0,0.01,
BitcoinDepot,gambling,6072,726737.4,0.0,0.0,0.01,
BitcoinDepot,high risk exchange,834,518394.6,0.0,0.0,0.0,
BitcoinDepot,hyip,6762,5951303.51,0.0,0.0,0.0,
BitcoinDepot,mixer,12,5225.54,0.0,0.0,0.0,
BitcoinDepot,ransomware,552,958220.69,0.0,0.0,0.0,
BitcoinRD,criminal,11,535.42,0.0,0.0,0.02,
BitcoinRD,hyip,55,4113.25,0.0,0.0,0.01,
BitcoinTrade,criminal,540,904688.53,0.0,0.0,0.0,
BitcoinTrade,dark market,40,1932.87,0.0,0.0,0.02,
BitcoinTrade,gambling,280,158611.67,525.0,224258.26,0.0,0.0
BitcoinTrade,high risk exchange,860,554455.11,945.0,176500.06,0.0,0.01
BitcoinTrade,hyip,740,1359625.04,567.0,405332.12,0.0,0.0
BitcoinWallet.com,criminal,18,1390.36,4.0,110.69,0.01,0.04
BitcoinWallet.com,dark market,69,9450.96,4.0,134.46,0.01,0.03
